InitialReportDate,DateofDiscovery,Operator,TrackingNum,FacilityType,Latitude,Longitude,county,livestock,PublicByway,ResidenceOrOccupiedStructure,CurrentLandUse,OtherLandUse,SurfaceWaterSupplyArea,WatersoftheState,SpillDescription
01/14/2017,01/13/2017,8 NORTH LLC,401185064,PARTIALLY-BURIED VESSEL,39.936013,-105.109967,BOULDER,0,0,0,CROP LAND,Boulder Open Space,0,0,"While removing a partially buried concrete produced water vault, historical suspected impacts were observed. All lateral walls were cleared, samples collected, and submitted for laboratory analysis. The vertical extent will be investigated early next week barring favorable weather. Please refer to the Form 27 submitted prior excavtion, COGCC document # 401183958 for further details, topographic and aerial maps."
06/23/2017,06/23/2017,8 NORTH LLC,401318036,TANK BATTERY,40.950827,-104.180983,WELD,0,0,0,NON-CROP LAND,,0,0,During a routine site inspection the lease operator noticed that a steel produced tank had developed a hole in the bottom releasing approximately 47 bbls of produced water. All fluids were contained within a lined secondary containment.
07/19/2017,07/19/2017,8 NORTH LLC,401347902,FLOWLINE,40.003993,-105.060057,BOULDER,0,0,0,OTHER,well and production equipment pad,0,1,"While completing required tests of flowlines at the location, the water dump line failed a pressure test.  During the subsequent investigation, impacted soil was identified along the flowline corridor between the separator and production tank.  Using conventional excavation, impacted soil will be transported offsite for disposal at a licensed facility.  At the time of this initial report, there is no evidence that impacts extend offsite or have reached groundwater, and spilled volume is unknown.  In support of excavation efforts, an environmental contractor field-screened impacted soils and collected samples for laboratory analysis.  In accordance with Rule 906, a supplemental report will be submitted detailing findings of the remedial investigation, laboratory results, and if necessary additional proposed remediation efforts."
01/23/2018,01/23/2018,8 NORTH LLC,401523624,TANK BATTERY,39.99046,-105.057433,BOULDER,0,0,0,OTHER,Tank Battery,0,0,"During routine facility operation and maintenance activities, the Production Foreman observed an oil stain along the side of the concrete water vessel. The location was shut-in and pressure tests identified a failed oil dump line. Surface soils were field screened adjacent to the produced water tank and soil staining and hydrocarbon odor was observed. An investigation will be completed with conventional excavation to identify vertical and horizontal extent of soil impacts. Confirmation samples from the excavation will be submitted for laboratory analysis to demonstrate successful remediation."
02/09/2018,02/08/2018,8 NORTH LLC,401541461,TANK BATTERY,40.951032,-104.201669,WELD,0,0,0,OTHER,Tank Battery,0,0,"During routine operations, the Lease Operator discovered a release of crude oil from a heater treater at a tank battery.  The Operator shutdown the system, notified 8 North environmental personnel of the release, and called contractors to initiate recovery.  A gasket failure on the heater treater was identified as the cause of the release, causing at releasing at least 5 bbls of crude oil outside containment and off the site. A hydrovac truck recovered standing fluid 02/08/2018 and soil recovery began 02/09/2018. Remediation will be completed with conventional excavation and vertical and horizontal definition will be confirmed with field-screening and laboratory results.  Site characterization and lab results will be provided in the supplemental Form 19, or a Form 27 as needed."
04/20/2018,04/20/2018,8 NORTH LLC,401615432,TANK BATTERY,40.060899,-105.096169,BOULDER,0,0,0,OTHER,Production facility,0,0,"While removing a partially buried produced water vessel at the Dawson-61N69W/10SESE facility (446622), historic suspected soil impacts were observed. Vertical and horizontal definition will be achieved and clearance samples will be collected from the bottom and sidewalls of the excavation.  In accordance with the submitted Form 27 initial (Document #401599794), collected samples will be field-screened and submitted for laboratory analysis. Please refer to the Form 27 submitted for this project, for further details on the pending site investigation."
11/26/2018,11/26/2018,8 NORTH LLC,401850008,OTHER,39.959961,-105.09503,BOULDER,0,0,0,NON-CROP LAND,,0,0,"A property developer encountered potentially impacted soils while performing a Phase II investigation in the parcel of land surrounding the tank battery associated with the Neumann 1-15 well.  A total of nine soil borings were advanced throughout the parcel.  At one of the borings adjacent to the tank battery, PID readings were elevated at approximately 7.5 feet bgs, a soil sample was submitted for BTEX/TVPH and TEPH analysis, and PVC piping was used to collect a grab water sample.  The analytical results of that soil sample have led to further investigation by 8-North to confirm the presence of and delineate the extent of the potential impacts.  The results of the grab water sample were non-detect.  Additional site investigation efforts by 8-North are on-going.  Environmental crews are working to determine the source and nature of the release.  Forthcoming laboratory analysis will determine the nature and source, which are both presently unknown."
03/29/2019,03/29/2019,8 NORTH LLC,401989377,TANK BATTERY,40.016428,-105.086433,BOULDER,0,0,0,NON-CROP LAND,,0,0,"While removing dump lines from the Arapahoe 2-26 tank battery, historical suspected soil impacts were observed. Vertical and horizontal definition is being pursued with conventional excavation, and clearance samples will be collected from the bottom and sidewalls of the excavation. In accordance with the submitted Form 27 submitted for this project, collected samples will be field-screened and submitted for laboratory analysis. Please refer to the submitted Form 27 initial, COGCC Document #: 401987661 that has not yet been approved, for further details."
05/17/2019,05/17/2019,8 NORTH LLC,402048071,TANK BATTERY,39.995911,-105.064535,BOULDER,0,0,0,CROP LAND,,0,0,"While hot-oiling at WANEKA-61S69W 1SENW (Facility ID: 435833), 14 barrels of crude oil were released inside secondary containment due to a failed drain line. 13 barrels of oil were recovered via hydrovac equipment onsite."
10/03/2019,10/03/2019,8 NORTH LLC,402197635,PARTIALLY-BURIED VESSEL,39.990454,-105.057413,BOULDER,0,0,0,NON-CROP LAND,,0,0,"The partially-buried produced-water vessel at the QUINBY MD 12-69HN TANK (Location ID: 321350) failed an integrity test and was subsequently decommissioned for investigation. While removing the produced-water vessel, suspected soil impacts were observed and confirmed with laboratory results. Vertical and horizontal definition is being pursued with conventional excavation, and clearance samples will be collected from the bottom and sidewalls of the excavation. In accordance with the approved Form 27, and COGCC assigned remediation project number 14326, collected samples were field-screened and submitted for laboratory analysis.  Please refer to the Form 27 submitted prior to excavation, COGCC Document #: 402193572, for further details."
12/22/2014,12/19/2014,AKA ENERGY GROUP LLC,400757040,OTHER,40.283,-104.801,WELD,0,0,0,OTHER,Compressor facility,0,0,A threaded fitting for a pressure gauge on a dehydration skid leaked causing the release of TEG. TEG pump was turned off to stop the release. Impacted soil was excavated and stockpiled onsite on a liner with berms surrounding it. The extent of contamination was determined visually. The threaded fitting for the gauge was repaired. Upon repair the gauge was tested and was not leakiing.
05/15/2017,05/14/2017,AKA ENERGY GROUP LLC,401282682,OTHER,40.28354,-104.80121,WELD,0,0,0,NON-CROP LAND,Compressor Station,0,0,"Operator was conducting facility check at 1430 on Sunday, May 14, and noticed spill. 2-inch class 600 valve on the bottom of the dehy contactor failed. Stem of valve failed and caused TEG to spray across 40 foot portion of location. TEG did not leave the compressor station footprint. Soil is only impacted to 1-3 inches below ground surface as release was in the form of a fine mist. Compressor station was ESD'd to stop release and so that valve could be replaced. Repairs were completed Sunday afternoon. Excavation contractor was onsite first thing Monday morning, May 15, to excacate contaminated soil. Soil will be profiled and hauled to a Waste Management facility under manifest for disposal."
03/09/2018,02/26/2018,AKA ENERGY GROUP LLC,401568968,GAS GATHERING SYSTEM,40.372365,-104.543723,WELD,0,0,0,NON-CROP LAND,,0,0,"A slug of pipeline liquids overwhelmed the facility’s gun barrel tank leading to a condensate release from the thief hatch. Aka is conducting a root cause analysis to determine the causal factors which led to the release and solutions to prevent a recurrence. A total of approximately 5 barrels was released, with 4 barrels remaining inside the lined steel ring secondary containment and approximately 1 barrel outside of secondary containment. The 1 barrel that was released outside secondary containment caused surficial staining of the gravel pad which measures approximately 700 square feet. This area will be excavated until hydrocarbon concentrations are below the Table 910-1 cleanup level of 500 mg/kg TPH. The fluids remaining inside the secondary containment will be recovered utilizing a vac truck and transported to an approved disposal well. Excavated soil will be stockpiled on a 20-mil petroleum resistant liner and transported to a permitted and approved disposal facility."
01/07/2019,01/07/2019,AKA ENERGY GROUP LLC,401896039,GAS COMPRESSOR STATION,40.283441,-104.801437,WELD,0,0,0,NON-CROP LAND,,0,0,Contract truck driver was transferring condensate to tank battery on location and transferred condensate into incorrect tank which was already full. Condensate was released out of the thief hatch of the tank before truck driver could stop transfer. Approximately 2 bbl was spilled inside of secondary containment and 2 bbl was spilled outside of secondary containment. Spill fluid was a mixture of condensate and produced water. Released fluids were sucked up using vac truck. Impacted soil will be excavated and confirmation sample collected for analysis of total petroleum hydrocarbons (TPH) to confirm all impacts have been removed. Impacted soil will be disposed of with Waste Management in accordance with applicable waste disposal regulations.
10/05/2018,08/15/2018,ALAMOSA DRILLING INC,401785771,WELL,37.018155,-106.875258,ARCHULETA,0,0,0,NON-CROP LAND,,0,0,Well is 30 years old. Origin of release is not known but apparently is not ongoing. Oil stained soil was removed and taken to appropriate disposal site.
03/23/2020,11/14/1994,ANADARKO DJ GAS PROCESSING LLC,402349927,GAS PROCESSING PLANT,39.748143,-104.680174,ADAMS,0,0,0,CROP LAND,,0,1,"Two Flare Fluid Storage Pits (#1 and #2) were historically operated at the Wattenberg Gas Plant. During decommissioning of the former Flare Fluid Storage Pits, initial investigation activities indicated that hydrocarbon impacts to soil and groundwater were present at the site. The COGCC had previously issued Remediation Project No. 1688 for the release from the former Flare Fluid Storage Pits, however this Remediation Project was inadvertently closed prior to achieving No Further Action (NFA) criteria. As a result, a Form 27-Initial was re-filed with the COGCC on January 6, 2020 (COGCC Document No. 402274364) and Remediation Project No. 14874 was issued. This Form 19 is being submitted to establish a new Spill/Release Point ID for the release from the former Flare Fluid Storage Pits, as noted in the Form 27-Initial. A topographic Site Location Map showing the geographic setting of the release is provided as Figure 1."
02/19/2021,02/17/2021,ANADARKO DJ GAS PROCESSING LLC,402605003,GAS PROCESSING PLANT,40.255807,-104.745943,WELD,0,0,0,OTHER,Latham Gas Plant,0,0,"On February 17, 2021, approximately 4.5 barrels of E&P exempt amine/water were released outside of containment at Western Midstream’s Latham Gas Plant. The cause of the release is being investigated. No liquids have migrated off location. Assessment activities are ongoing. The assessment details will be summarized in a supplemental report. The topographic Site Location Map showing the geographic setting of the release is provided as Figure 1."
06/02/2017,04/29/2017,ANADARKO WATTENBERG OIL COMPLEX LLC,401298704,PIPELINE,40.20719,-104.60883,WELD,0,0,0,NON-CROP LAND,,0,1,"On April 29, 2017, approximately 210 barrels (BBLs) of oil were released to the ground surface when a valve was left open during routine maintenance at the 101 Check Meter Valve. Approximately 40 BBLs of oil were recovered from inside lined containment, and approximately 27 BBLs were recovered outside of containment. Excavation activities were guided in the field by screening soil for volatile organic compound (VOC) concentrations using a photoionization detector (PID). Groundwater was encountered within the excavation at approximately 12 feet below ground surface (bgs). A topographic Site Location Map showing the geographic setting of the release is provided as Figure 1."
06/16/2017,06/14/2017,ANADARKO WATTENBERG OIL COMPLEX LLC,401311159,PIPELINE,40.115876,-104.743847,WELD,0,0,0,CROP LAND,,0,0,"On June 14, 2017, greater than 100 barrels of condensate were released outside of containment from the 13-897-8” Condensate Line. Pipe blowdown, fluid recovery, and soil excavation activities are ongoing and will be summarized in a forthcoming Supplemental Form 19 Spill/Release Report. A topographic Site Location Map showing the geographic setting of the release is provided as Figure 1."
07/20/2017,07/20/2017,ANADARKO WATTENBERG OIL COMPLEX LLC,401348747,PIPELINE,40.207284,-104.609839,WELD,0,0,0,NON-CROP LAND,,0,0,"On July 20, 2017, oil was released outside of secondary containment when an oil hauler failed to remove the hose connection from a crude oil storage tank prior to leaving the 16-13-744-8” Pipeline – 101 Loadout Facility. Recovery and assessment activities are ongoing and will be summarized in a forthcoming Supplemental Form 19 Spill/Release Report. A topographic Site Location Map showing the geographic setting of the release is provided as Figure 1."
06/01/2018,05/31/2018,ANADARKO WATTENBERG OIL COMPLEX LLC,401660531,OTHER,40.120602,-104.636329,WELD,0,0,0,OTHER,Hudson Compressor Station,0,0,"In response to recent rain events, operators were removing stormwater at the 16-12-711-12 gathering site. On May 31, 2018, operators discovered that contaminants associated with launcher and receiver points at the site had overflowed. This resulted in a release of greater than 1 barrel outside of containment. Soil impacts resulting from the release are being excavated. The excavation details and analytical results will be summarized in a supplemental report. The topographic Site Location Map showing the geographic setting of the release is provided as Figure 1."
06/14/2018,06/12/2018,ANADARKO WATTENBERG OIL COMPLEX LLC,401673827,OTHER,40.20882,-104.61042,WELD,0,0,0,NON-CROP LAND,,0,0,"On June 12, 2018, approximately 1 barrel of oil and storm water were released outside of containment when a storage sump overflowed at the Central Oil Stabilization Facility. Site assessment activities are ongoing and will be summarized in a forthcoming Supplemental Form 19 Spill/Release Report. A topographic Site Location Map showing the geographic setting of the release is provided as Figure 1."
04/05/2019,04/04/2019,ANADARKO WATTENBERG OIL COMPLEX LLC,401997391,OTHER,40.21846,-104.878592,WELD,0,0,0,CROP LAND,,0,0,"A valve failure from above ground equipment associated with the Davis Receiver 16-14-926-8 gathering system resulted in the release of oil onto the ground surface. The volume of the release is unknown. Based on the volume of impacted soil excavated, the release was reported to the COGCC on April 4, 2019. The assessment details and analytical results are summarized in the supplemental report. The topographic Site Location Map showing the geographic setting of the release is provided as Figure 1."
07/17/2019,07/09/2019,ANADARKO WATTENBERG OIL COMPLEX LLC,402112269,PIPELINE,40.062306,-104.926912,WELD,0,0,0,NON-CROP LAND,,0,1,"An internally leaking valve was discovered during a routine inspection at the 16-18-1453-4 Launcher location. The leaked condensate overfilled a small containment, resulting in a release of less than 1 barrel outside of secondary containment.  Approximately 360 barrels (75 cubic yards) of impacted material were removed via hydro-vaccum and transported to the Kerr-McGee Aggregate Recycle Facility in Weld County, Colorado. Excavation activities were guided in the field by screening soil for volatile organic compound (VOC) concentrations using a photoionization detector (PID). Groundwater was encountered within the excavation at approximately 15 feet below ground surface (bgs). Approximately 60 barrels of groundwater were removed from the excavation via vacuum truck and transported to the Kerr-McGee Aggregate Recycle Facility. A topographic Site Location Map showing the geographic setting of the release is provided as Figure 1."
06/08/2020,06/08/2020,ANADARKO WATTENBERG OIL COMPLEX LLC,402415866,OTHER,40.212537,-104.739872,WELD,0,0,0,NON-CROP LAND,,0,1,"On June 3, 2020, an unknown volume of oil was released outside of containment at the 16-14-991-4 Melba Launcher due to a failed ball valve. On June 5, 2020, groundwater was encountered within the excavation at approximately 15 feet bgs. A groundwater sample (GW01) was collected and submitted to Origins Laboratory for analysis of benzene, toluene, ethylbenzene, and total xylenes (BTEX) by USEPA Method 8260D. Analytical results received on June 8, 2020, indicated that the BTEX concentrations in groundwater sample GW01 were out of compliance with the COGCC Table 910-1 standards. Soil excavation activities are ongoing and will be summarized in a forthcoming Supplemental Form 19 Spill/Release Report. A topographic Site Location Map showing the geographic setting of the release is provided as Figure 1. The groundwater sample location is illustrated on Figure 2. The groundwater analytical results are summarized in Table 1. The analytical laboratory report is provided as Attachment A."
03/15/2019,03/13/2019,ANDEAVOR FIELD SERVICES LLC,401974719,GAS GATHERING PIPELINE SYSTEM,40.988771,-108.654561,MOFFAT,0,0,0,NON-CROP LAND,,0,1,"Vermillion Creek Compressor kept going down on low suction pressure and the Operator was asked to check the gathering lines in the area for a possible freeze or lateral leak. While working his way through the canyon the Operator located a leak caused by a crack in the lateral.  The lateral was isolated and depressured. Vac truck removed pooling liquid and absorbent pads were placed on the spill area.  Additional soil was removed after walking the site with Kris Neidel, COGCC.  Contaminated soils have been removed for disposal.  Additional delineation, characterization, and confirmation sampling will be conducted per COGCC request."
03/27/2019,03/23/2019,ANDEAVOR FIELD SERVICES LLC,401986431,GAS GATHERING PIPELINE SYSTEM,40.964328,-108.31322,MOFFAT,0,0,0,OTHER,Dominion Wexpro Pad Location,0,0,"Dominion Operator noticed the line pressure on the system was lower than usual and found gas leaking from the lateral near the Donnel 9 location caused by a crack in the lateral.  The lateral was isolated and depressurized.  Approximately 96 mscfd natural gas and 1.1bbl produced water/condensate mixture was released.  Released liquids migrated and pooled within the Dominion pad with melted snow and did not migrate offsite.  Impacted materials have been removed from the site for disposal, and LT Environmental will be contracted for confirmation sampling."
05/22/2014,05/21/2014,ARP PRODUCTION COMPANY LLC,400613112,WELL,37.02245,-104.86182,LAS ANIMAS,0,0,0,NON-CROP LAND,Saruche-Rombo Complex,0,0,The stuffing box on the C-137 Gas well leaked.  The packings were replaced and lubricated.  The water evaporated before any could be recovered. The area will be monitored for any impact to vegetation.  The produced water from this well has historiclly been low in ionic strenght and chloride concentationsns.
08/20/2014,08/19/2014,ARP PRODUCTION COMPANY LLC,400668982,WELL,37.008755,-104.77174,LAS ANIMAS,0,0,0,NON-CROP LAND,,0,0,The Rig workover crew was tripping out of hole with a wet string with a plunger pump.  This was being done to replace the pump.  They were able to catch 7 barrels and spilled 3 barrels.  It hit the ground and evaporated and dissipated into the ground before any could be recovered.  There is a stock tank under the rig floor.  The 3 barrels is what splashed out of the tank.
12/01/2014,12/01/2014,ARP PRODUCTION COMPANY LLC,400743089,WELL,37.00893,-104.736674,LAS ANIMAS,0,0,0,OTHER,Range Land,0,0,"A 1"" nipple rusted through causing a pin hole in the pipe.  This released 4 barrels of produced water onto the ground.  It spread out over and area of about 300 sqft.  The pipe was replaced.  The water turned to ice.  The area will be watched when it thaws to see if any pooling occurs and if it does it will be sucked up."
12/10/2015,12/08/2015,ARP PRODUCTION COMPANY LLC,400951714,WELL,37.000961,-104.759414,LAS ANIMAS,0,0,0,OTHER,Range Land,0,0,"A 1"" valve was pushed open by wild horses. To stop the release the valve was closed and the handle removed to try to prevent this from happening again being there are horses in the area now.  This allowed water to spray from the well head while the pump was running.  The water covered an area of about 100 sq.ft on the pad.  The water left the pad in a small stream about 1' wide.  It flowed down into the canyon about 1540 ft.  The area has snow and the ground is frozen.  The water was mixing with run off from the snow the further it ran down in the canyon."
05/13/2016,05/10/2016,ARP PRODUCTION COMPANY LLC,401046909,FLOWLINE,37.03671,-104.7391,LAS ANIMAS,0,0,0,NON-CROP LAND,Rangeland,0,0,"A small leak was discovered in a flowline, 4.84 bbl spilled. The line was isolated.  The water was confined to the road ditch and dissipated into the ground. The line was excavated and the line was repaired.  Line was put back in service."
05/31/2016,05/30/2016,ARP PRODUCTION COMPANY LLC,401055872,PIPELINE,37.080279,-104.763327,LAS ANIMAS,0,0,0,NON-CROP LAND,,0,0,"2"" vent on a water line had a small hole do to corrosion.  The line was isolated by closing valves in the area.  The pipe was excavated and the small amount of water was collected in the trench.  It was hydo-vacuumed up into a truck.  Approximately 2 Barrels of Produced Water spilled."
08/19/2016,08/18/2016,ARP PRODUCTION COMPANY LLC,401096291,PIPELINE,37.0372,-104.7422,LAS ANIMAS,0,0,0,NON-CROP LAND,Rangeland,0,0,A small leak on the water flow line just after the well head.  The line was isolated.  The water dissipated into the ground. No water was recovered
09/12/2016,09/09/2016,ARP PRODUCTION COMPANY LLC,401107173,FLOWLINE,37.03673,-104.7398,LAS ANIMAS,0,0,0,NON-CROP LAND,Rangeland,0,0,A leak was discovered in a flowline leading from the C-57.  About 14 barrels of produced water was released.  The line was isolated.  The water was confined in the road ditch and dissipated into the ground.  The line was excavated and repaired.  Line was put back in service.
11/09/2016,11/07/2016,ARP PRODUCTION COMPANY LLC,401146525,PIPELINE,37.00896,-104.73829,LAS ANIMAS,0,0,0,CROP LAND,Rangeland,0,0,"There is a split in a metal valve on a 4"" water line.  The line was isolated.  The water dissipated into the ground.  No water was recovered."
11/09/2016,11/08/2016,ARP PRODUCTION COMPANY LLC,401146752,PIPELINE,36.99753,-104.7317,LAS ANIMAS,0,0,0,CROP LAND,,0,0,"8"" poly line had a leak in a collar.  The line was isolated.  Nothing was recovered."
11/17/2016,11/15/2016,ARP PRODUCTION COMPANY LLC,401151354,WELL,37.02245,-104.86182,LAS ANIMAS,0,0,0,NON-CROP LAND,,0,0,"Elk pushed up against a 1"" valve opening cracking it open.  The spill was on the well pad.  There was none recovered it dissipated into the ground. Note: Elk prints in the area and elk hair on the valve. 2.5 barrels of produced water spilled."
12/27/2016,12/23/2016,ARP PRODUCTION COMPANY LLC,401173625,WELL,37.008621,-104.760681,LAS ANIMAS,0,0,0,CROP LAND,Rangeland,0,0,"There is a crack in the ""Freeze Pot"" located on the side of the well head.  This is  caused from freezing.  The well was shut in and the line isolated.  The water dissipated into the ground.  No water was recovered. Approximately 4.2 Barrels of Produced Water"
06/22/2017,06/19/2017,ARP PRODUCTION COMPANY LLC,401315697,FLOWLINE,37.00134,-104.81757,LAS ANIMAS,0,0,0,NON-CROP LAND,,0,0,"2"" steel line has a hole in it due to external corrosion.  The line was shut in. None of the produced water was recovered it evaporated."
11/20/2017,11/15/2017,ARP PRODUCTION COMPANY LLC,401464080,WELL,36.994626,-104.719144,LAS ANIMAS,0,0,0,NON-CROP LAND,,0,0,A worn polish rod wore the packing. This resulted in 3 barrels of produced water on the ground. The pump jack was shut down.  The polish rod and packing were replaced.  The produced water dissipated into the ground and evaporated.
11/21/2017,11/21/2017,ARP PRODUCTION COMPANY LLC,401466176,FLOWLINE,37.0009,-104.7794,LAS ANIMAS,0,0,0,NON-CROP LAND,,0,0,"A 6"" to 3"" reducing Tee got a small crack in it where it transitions down.  The 3"" line coming into the 6"" line was installed at and angle rather than straight, which put stress on the Tee.  The 12"" gas line above the 6"" water line may have settled also putting additional weight on the Tee. The wells that feed into the 6"" line were shut in stopping the flow of water.  A water truck was brought in and sucked the pressure of the line and stood by will the line was cut and repaired.  The line was back filled and put in service."
03/06/2018,03/03/2018,ARP PRODUCTION COMPANY LLC,401564123,TANK BATTERY,37.02335,-104.78131,LAS ANIMAS,0,0,0,NON-CROP LAND,,0,0,"A UPS failed on a PLC unit.  The pumps did not turn on, on the  produced water facility.  This allowed the Gun barrels tanks to fill then the Working tanks and then the Emergency Tanks.  The water began spilling out the gun barrel tanks.  A lease operator found the tanks spilling and manual turned the pumps on going to the injection wells.  This stopped the spill immediately.  The water and slop was contained in a lined containment around the tanks.  There was a hole in the containment for a 8"" line to exit.  This line had been sealed around the opening but the material used to seal the opening failed.  About 100 barrels of the spill was recovered from the containment and what had spilled on to the ground."
01/24/2019,01/21/2019,ARP PRODUCTION COMPANY LLC,401916781,WELL,37.000961,-104.759414,LAS ANIMAS,0,0,0,NON-CROP LAND,,0,0,"Leak under ground on a 2"" line. The line and well head were isolated and the line excavated. The leak was caused by external corrosion on a 90 degree nipple at the connection to the freeze pot.  The freeze pot was removed and the line replaced.  Anode protection was installed.  The produced water dissipated into the ground and evaporated."
05/30/2014,05/29/2014,AUGUSTUS ENERGY RESOURCES LLC,400617644,WELL,40.01613,-102.31877,YUMA,0,0,0,CROP LAND,Dryland Crop,0,0,"The valve was left shut causing the well to over pressure which caused packing to leak. valve was opened and packing replaced, no surface water to recover."
